指标,值
mnar_auc,0.9516
mnar_coef/log_dwi,-1.2366
mnar_coef/log_swi,-1.1022
n_lesion,39
n_patient,28
n_complete_t2,31
n_obs_dwi_swi,37
naive_beta,0.9834
naive_ci/下,0.9487
naive_ci/上,1.0246
naive_ci_width,0.076
naive_r2,0.9893
naive_raw_slope,0.9672
adj_beta,0.984
adj_ci/下,0.9493
adj_ci/上,1.0285
adj_r2,0.99
adj_coefs/log_dwi,0.984
adj_coefs/age_z,0.0038
adj_coefs/sex,0.007
adj_coefs/supra,0.0368
adj_coefs/left,-0.0211
proxy_beta,1.0238
proxy_ci/下,0.3631
proxy_ci/上,1.3495
proxy_ci_width,0.9864
ci_width_ratio,12.9839
proxy_r2,0.9916
proxy_beta_t2,-0.0373
dml/theta,0.9826
dml/theta_sd_across_repeats,0.0094
dml/ci95_low,0.9384
dml/ci95_high,1.0167
dml/n,37
dml/n_repeats,10
dml/n_splits,5
icc/icc,0.0688
icc/k_bar,1.3846
icc/msb,0.4495
icc/msw,0.4078
icc/deff,1.0265
icc/n_eff,37.9943
icc/n_total,39
icc/n_groups,28
naive_ci_cluster/下,0.9476
naive_ci_cluster/上,1.0264
