参数,后验均值,后验SD,95%HDI 下,95%HDI 上,ESS_bulk,R-hat
a_male,0.0319,0.2746,-0.5008,0.5627,999.9811,1.0032
a_age,-0.141,0.1628,-0.4692,0.1676,6120.454,1.002
lam_d,1.009,0.019,0.9713,1.0462,4094.9643,1.0022
lam_t,0.9605,0.0309,0.9008,1.0228,5338.2115,1.0004
sd[0],0.0626,0.0125,0.0358,0.0858,1116.5302,1.0012
sd[1],0.0332,0.0163,0.0033,0.0607,271.1422,1.0117
sd[2],0.0915,0.0141,0.0643,0.1193,4397.8079,1.0013
c0,1.5146,0.5787,0.3487,2.6334,803.0199,1.0034
c1,1.9194,0.7014,0.4769,3.22,5473.7736,1.0002
tau_loc,0.2501,0.1878,0,0.6097,2050.0096,1.0014
eff_age_10y,0.8908,0.1307,0.6441,1.1461,6120.454,1.002
eff_male,1.0721,0.3002,0.5441,1.6631,999.9811,1.0032
p_detect_Lm1,0.4153,0.1712,0.0929,0.7321,934.8164,1.0027
p_detect_L0,0.805,0.0872,0.6335,0.9556,803.0199,1.0034
p_detect_Lp1,0.9545,0.0411,0.873,0.9997,3036.3678,1.0006
